NGC 6273	255.657486	-26.267971	356.869	9.382	8.34	0.16	1.43	0.03	145.54	0.59	-3.256	0.010	1.668	0.009	0.00	-0.04	0.16	-0.45	0.01	1.36	0.03	-129.95	0.59	221.75	0.38	171.75	0.38	1.22	0.04	3.29	0.10
NGC 6284	256.120114	-24.764799	358.347	9.939	14.21	0.42	6.32	0.40	28.62	0.73	-3.205	0.014	-2.004	0.014	0.10	-5.81	0.41	-0.40	0.01	2.45	0.07	-16.17	0.74	15.56	0.94	105.21	0.94	1.02	0.06	6.48	0.39
NGC 6287	256.288904	-22.708005	0.132	11.023	7.93	0.37	1.57	0.04	-294.74	1.65	-4.991	0.010	-1.886	0.009	-0.02	0.40	0.36	0.02	0.00	1.52	0.07	298.98	1.62	84.28	0.35	59.53	0.47	0.91	0.06	4.16	0.17
NGC 6293	257.542500	-26.582083	357.620	7.834	9.19	0.28	1.60	0.18	-143.66	0.39	0.865	0.020	-4.330	0.020	-0.04	-0.92	0.28	-0.38	0.01	1.25	0.04	117.36	0.42	126.19	1.07	-151.88	1.07	0.44	0.13	2.79	0.39
NGC 6304	258.634399	-29.462028	355.826	5.376	6.15	0.15	2.19	0.13	-108.62	0.39	-4.073	0.012	-1.089	0.011	0.05	2.07	0.15	-0.45	0.01	0.58	0.01	110.98	0.39	166.20	0.32	75.17	0.33	1.56	0.13	2.70	0.14
NGC 6316	259.155417	-28.140111	357.175	5.764	11.15	0.39	3.16	0.36	99.65	0.84	-4.974	0.028	-4.605	0.027	0.08	-2.90	0.38	-0.55	0.02	1.12	0.04	-85.27	0.85	-102.10	1.44	92.58	1.46	0.87	0.21	3.85	0.50
NGC 6341	259.280762	43.135944	68.338	34.859	8.50	0.07	9.85	0.04	-120.55	0.27	-4.934	0.012	-0.630	0.012	0.13	5.60	0.02	6.48	0.05	4.86	0.04	22.97	0.46	39.48	0.37	98.27	0.42	1.25	0.02	10.62	0.05
NGC 6325	259.496327	-23.767677	0.971	8.003	7.53	0.32	1.28	0.13	29.54	0.58	-8.288	0.029	-8.987	0.028	0.17	0.72	0.32	0.13	0.01	1.05	0.04	-38.92	0.59	-179.39	1.02	73.60	1.02	1.05	0.03	1.31	0.13
NGC 6333	259.799086	-18.516257	5.544	10.705	8.30	0.14	1.73	0.02	310.75	2.12	-2.179	0.009	-3.213	0.008	0.07	0.06	0.14	0.79	0.01	1.54	0.03	-329.48	2.06	129.70	0.38	66.52	0.51	1.22	0.02	6.14	0.12
NGC 6342	260.291573	-19.587659	4.898	9.725	8.01	0.23	1.54	0.02	115.75	0.90	-2.915	0.013	-7.106	0.013	-0.07	0.31	0.23	0.67	0.02	1.35	0.04	-158.75	0.89	-22.34	0.49	-29.08	0.52	0.84	0.09	1.66	0.04
NGC 6356	260.895804	-17.813027	6.724	10.220	15.66	0.92	7.86	0.87	48.18	1.82	-3.769	0.011	-3.410	0.010	0.03	-7.12	0.90	1.80	0.11	2.78	0.16	-83.82	1.79	-106.31	0.76	111.08	0.82	3.62	1.13	8.99	1.26
NGC 6355	260.993533	-26.352827	359.585	5.429	8.65	0.22	0.93	0.12	-195.85	0.55	-4.732	0.015	-0.558	0.014	0.27	-0.44	0.22	-0.06	0.00	0.82	0.02	198.82	0.55	126.39	0.60	136.36	0.62	0.79	0.08	1.50	0.26
NGC 6352	261.371277	-48.422169	341.421	-7.166	5.54	0.07	3.51	0.04	-125.63	1.01	-2.169	0.008	-4.430	0.008	0.17	2.96	0.07	-1.75	0.02	-0.69	0.01	149.96	0.96	170.76	0.37	6.51	0.24	3.09	0.02	3.94	0.07
IC 1257	261.785431	-7.093056	16.528	15.145	26.59	1.43	19.27	1.36	-137.97	2.04	-1.029	0.025	-1.490	0.019	0.24	-16.43	1.32	7.30	0.39	6.95	0.37	55.77	2.11	-5.13	2.57	-13.47	2.87	1.03	0.24	20.07	1.37
Terzan 2	261.887917	-30.802333	356.319	2.298	7.75	0.33	0.74	0.16	133.46	0.69	-2.142	0.030	-6.255	0.027	0.21	0.45	0.32	-0.50	0.02	0.31	0.01	-131.58	0.70	9.08	1.03	-49.50	1.08	0.16	0.03	0.86	0.22
NGC 6366	261.934357	-5.079861	18.409	16.036	3.44	0.05	5.23	0.04	-120.65	0.19	-0.342	0.008	-5.155	0.008	0.20	5.04	0.05	1.05	0.02	0.95	0.01	65.24	0.18	147.16	0.14	-62.03	0.14	2.24	0.04	5.70	0.04
Terzan 4	262.662506	-31.595528	356.024	1.308	7.59	0.31	0.82	0.20	-48.96	1.57	-5.364	0.035	-3.674	0.031	0.21	0.61	0.31	-0.53	0.02	0.17	0.01	54.76	1.56	39.76	1.17	94.74	1.22	0.19	0.04	0.85	0.19
HP 1	262.771667	-29.981667	357.425	2.115	7.00	0.14	1.26	0.13	39.76	1.22	2.500	0.028	-10.049	0.027	0.17	1.19	0.14	-0.31	0.01	0.26	0.01	-49.60	1.22	16.99	0.89	-243.09	0.91	0.72	0.13	1.67	0.11
FSR 1758	262.800000	-39.808000	349.217	-3.292	11.09	0.74	3.46	0.63	227.31	0.59	-2.875	0.008	2.509	0.007	0.08	-2.69	0.72	-2.07	0.14	-0.64	0.04	-250.44	0.58	235.01	0.39	192.45	0.39	3.63	0.62	13.22	3.42
NGC 6362	262.979096	-67.048332	325.555	-17.570	7.65	0.07	5.20	0.01	-14.58	0.18	-5.502	0.006	-4.761	0.006	0.07	2.16	0.05	-4.12	0.04	-2.31	0.02	117.09	0.19	40.56	0.20	99.81	0.20	2.64	0.03	5.24	0.02
Liller 1	263.352333	-33.389556	354.840	-0.161	8.06	0.34	0.74	0.07	60.36	2.44	-5.183	0.176	-6.979	0.143	0.35	0.15	0.34	-0.72	0.03	-0.02	0.00	-41.46	2.48	-83.37	5.81	28.07	6.39	0.09	0.04	0.85	0.09
NGC 6380	263.618611	-39.069530	350.182	-3.422	9.61	0.30	2.15	0.21	-1.48	0.73	-2.186	0.017	-3.256	0.016	-0.02	-1.27	0.30	-1.64	0.05	-0.57	0.02	20.58	0.74	76.51	0.73	11.08	0.75	0.28	0.05	2.11	0.24
Terzan 1	263.946667	-30.481778	357.558	0.991	5.67	0.17	2.52	0.17	57.55	1.61	-2.886	0.046	-4.870	0.044	0.08	2.51	0.17	-0.24	0.01	0.10	0.00	-62.20	1.61	97.77	1.21	2.95	1.22	0.57	0.09	2.68	0.17
Ton 2	264.042000	-38.556100	350.793	-3.424	6.99	0.34	1.76	0.19	-184.72	1.12	-5.936	0.020	-0.795	0.019	0.24	1.29	0.33	-1.12	0.05	-0.42	0.02	182.40	1.11	154.24	0.65	169.82	0.65	1.80	0.14	3.00	0.29
NGC 6388	264.071777	-44.735500	345.556	-6.738	11.17	0.16	3.99	0.13	83.11	0.45	-1.317	0.007	-2.715	0.007	0.01	-2.57	0.16	-2.77	0.04	-1.31	0.02	-49.47	0.44	78.28	0.38	-19.32	0.38	1.15	0.02	4.05	0.12
NGC 6402	264.400651	-3.245916	21.324	14.804	9.14	0.25	3.97	0.11	-60.71	0.45	-3.599	0.006	-5.055	0.006	0.12	-0.06	0.23	3.21	0.09	2.34	0.06	-46.65	0.42	-20.92	0.30	20.20	0.29	0.56	0.08	4.28	0.13
NGC 6401	264.652191	-23.909605	3.450	3.980	7.44	0.22	1.03	0.14	-105.44	2.50	-2.762	0.010	1.464	0.008	0.29	0.77	0.22	0.45	0.01	0.52	0.02	101.04	2.48	237.50	0.34	109.65	0.38	0.47	0.14	2.12	0.34
NGC 6397	265.175385	-53.674335	338.165	-11.960	2.48	0.02	6.01	0.02	18.51	0.08	3.251	0.005	-17.649	0.005	-0.25	5.92	0.02	-0.90	0.01	-0.51	0.00	58.24	0.08	106.68	0.06	-130.34	0.06	2.60	0.01	6.30	0.01
Pal 6	265.925812	-26.224995	2.090	1.779	7.05	0.45	1.19	0.40	177.00	1.35	-9.190	0.021	-5.283	0.018	0.27	1.14	0.45	0.26	0.02	0.22	0.01	-194.00	1.34	-52.44	0.62	181.72	0.66	0.29	0.09	2.08	0.70
NGC 6426	266.227960	3.170142	28.087	16.234	20.71	0.35	14.45	0.32	-210.51	0.51	-1.821	0.016	-2.998	0.015	0.27	-9.36	0.30	9.36	0.16	5.79	0.10	11.24	0.91	-149.16	1.37	-29.02	1.48	3.67	0.36	17.00	0.52
Djorg 1	266.869583	-33.066389	356.675	-2.484	9.88	0.65	1.82	0.59	-359.18	1.64	-4.725	0.028	-8.470	0.021	-0.02	-1.68	0.65	-0.57	0.04	-0.43	0.03	374.13	1.63	-180.09	1.08	7.50	1.22	1.19	0.31	9.29	3.67
Terzan 5	267.020200	-24.779055	3.839	1.687	6.62	0.15	1.65	0.13	-81.97	0.85	-1.864	0.030	-5.108	0.027	0.33	1.58	0.15	0.44	0.01	0.19	0.00	58.48	0.85	79.79	0.88	-27.76	0.92	0.27	0.04	1.69	0.15
NGC 6440	267.220167	-20.360417	7.729	3.801	8.25	0.24	1.23	0.03	-69.39	0.93	-1.189	0.024	-4.004	0.024	0.34	0.02	0.24	1.11	0.03	0.55	0.02	33.58	0.93	86.46	0.94	-37.51	0.94	0.21	0.07	1.26	0.06
NGC 6441	267.554413	-37.051445	353.532	-5.006	12.73	0.16	4.78	0.15	18.47	0.56	-2.566	0.020	-5.373	0.020	0.17	-4.42	0.16	-1.43	0.02	-1.11	0.01	13.63	0.58	-105.17	1.20	-25.31	1.20	1.61	0.13	4.70	0.14
Terzan 6	267.693250	-31.275389	358.571	-2.162	7.27	0.35	0.97	0.31	137.15	1.70	-4.993	0.052	-7.458	0.045	0.26	0.91	0.35	-0.18	0.01	-0.27	0.01	-141.03	1.70	-60.00	1.63	18.66	1.73	0.20	0.02	1.11	0.39
NGC 6453	267.715508	-34.598477	355.718	-3.872	10.07	0.22	2.10	0.19	-99.23	1.24	0.165	0.021	-5.920	0.021	0.18	-1.84	0.22	-0.75	0.02	-0.68	0.01	115.63	1.24	21.74	1.00	-136.21	1.02	0.45	0.11	2.52	0.23
UKS 1	268.613312	-24.145277	5.125	0.764	15.58	0.56	7.47	0.54	59.38	2.63	-0.960	0.207	-2.941	0.135	0.13	-7.34	0.56	1.39	0.05	0.21	0.01	-90.83	2.82	35.25	11.53	-40.64	14.11	0.47	0.15	7.80	0.60
